"","age","year_1920","year_1960","year_1970","year_1980","year_1990","year_1995","year_2000","year_2005"
"90","89","7294","15156","27279","44358","111079","132879","215525","282557"
"91","90","5289","10453","20084","36817","82892","113845","179821","238830"
"92","91","2467","7906","15667","28207","60798","88487","142477","205486"
"93","92","1902","5764","11083","19109","47454","71960","109402","165193"
"94","93","1230","3017","7901","12927","33525","54030","84061","131771"
"95","94","854","2136","5965","7987","23250","39480","54520","99590"
"96","95","680","1394","2670","5282","15613","26361","42429","75580"
"97","96","459","715","1683","3595","9943","17496","29798","54915"
"98","97","430","339","1041","2305","6348","12536","21687","38156"
"99","98","302","198","591","1334","3962","7742","14648","26778"
"100","99","44","121","316","828","2356","4809","9926","15792"
